Created Date,Record Number,Record Type,Status,Address,Property/Project Name,Description,Expiration Date,,,,,,,,
7/26/2012,6328769-EL,Electrical Permit: Over the Counter,Completed,308    4TH  AVE  S  SEATTLE,,"30 DAY GET STARTED FOR BRANCH CKTS ONLY, OKAY PER TIM PORTER. PLAN REVIEW UNDER #6328763.",10/7/2012,,,,,,,,
7/26/2012,6328763-EL,Electrical Permit: Plan Review,Completed,308    4TH  AVE  S  SEATTLE,,"REMODEL BASEMENT THRU MEZZ, NEW 2000 AMP SERVICE. 2/28/13 CPG REVISION ADDED BRANCH PANEL, REVISED SERVICE FEEDERS. 4/8/13 MVC: REVISION - ADDING BRANCH PANEL & HEATERS. 7/1/13 JCB; REVISION SUBMITTED FOR SERVICE CONDUCTOR CLARIFICATION - NO CHANGE IN JOB VALUE. 7/18/13 JCB; REVISION TO ADD LEGALLY REQ'D STANDBY SERVICE, INCREASE IN JOB VALUE BY $2500.00. 10/7/13 JCB; RENEW.",10/4/2014,,,,,,,,
7/13/2012,6327247-EL,Electrical Permit: Over the Counter,Completed,308    4TH  AVE  S  SEATTLE,,"FIRE ALARM GET STARTED, REF #6327246",8/13/2012,,,,,,,,
7/13/2012,6327246-EL,Electrical Permit: Plan Review,Completed,308    4TH  AVE  S  SEATTLE,,REPLACING FIRE ALARM SYSTEM,8/27/2013,,,,,,,,
7/12/2012,6327104-EL,Electrical Permit: Over the Counter,Completed,308    4TH  AVE  S  SEATTLE,,THIS IS ONLY A TEMPORARY CONNECTION DURING CONSTRUCTION WORK FOR (5) 50A SPIDER BOXES WHILE WORKING FROM THE SUBBASEMENT THROUGH THE 9TH FLOOR.10/4/12 MVC: ADDING A 50A DEDICATED CIRCUIT FOR WELDER,7/12/2013,,,,,,,,
7/11/2012,6326935-EL,Electrical Permit: Over the Counter,Completed,308    4TH  AVE  S  SEATTLE,,NEW TELEPHONE CABLE AND RISER1/19/13 MVC: ADDING 104 COMMUNICATION DEVICES,7/11/2013,,,,,,,,
6/28/2012,6325632-FS,Fire Sprinkler and Suppression Permit,Completed,308    4TH  AVE  S  SEATTLE,,"Sprinkler shop drawings, per plans.",11/11/2013,,,,,,,,
6/11/2012,6323548-EL,Electrical Permit: Over the Counter,Completed,308    4TH  AVE  S  SEATTLE,,ADD (1) CIRCUIT FOR PAY STATION5/14/2013 JNL - MAILED ABOUT TO EXPIRE LETTER,6/11/2013,,,,,,,,
5/31/2012,6313959-CN-001,Special Inspection,Completed,308    4TH  AVE  S  SEATTLE,,"Structural Special Inspection for: Construct alterations and change of use of portion from storage to artist studio and change use of portion from shop and homeless shelter to artist studio, and occupy per plan.",,,,,,,,,
5/25/2012,6321858-EL,Electrical Permit: Over the Counter,Completed,308    4TH  AVE  S  SEATTLE,,"30 DAY GET STARTED: WALL & CEILING COVER ONLY, REF #6321857 6/20/12 trp extended get started permit",7/25/2012,,,,,,,,
5/25/2012,6321857-EL,Electrical Permit: Plan Review,Completed,308    4TH  AVE  S  SEATTLE,,REPLACE DWELLING UNIT & COMMON AREA PANELS WITH KITCHEN REMODELS,7/6/2013,,,,,,,,
4/27/2012,6260187-CN-002,Special Inspection,Completed,308    4TH  AVE  S  SEATTLE,,"Structural Observation Special Inspection for: Construct alterations and voluntary seismic upgrade to existing mixed-use building, per plans.",,,,,,,,,
4/18/2012,1027313-TR,Tenant Relocation License,Reviews In Process,308    4TH  AVE  S  SEATTLE,,Application for a Tenant Relocation License. Total units: 240; total occupied: 105. Substantial rehabilitation.,,,,,,,,,
4/15/2012,6312175-CN-001,Special Inspection,Completed,308    4TH  AVE  S  SEATTLE,,Structural Special Inspection for: Change use of accessory storage to residential and alterations to existing mixed use building and occupy per plans.,,,,,,,,,
4/12/2012,6260187-CN-001,Special Inspection,Completed,308    4TH  AVE  S  SEATTLE,,"Structural Special Inspection for: Construct alterations and voluntary seismic upgrade to existing mixed-use building, per plans.",,,,,,,,,
3/19/2012,EQP-BP-19062,Boiler Equipment Certification,Permanently Out of Service,308    4TH  AVE  S  SEATTLE,COIL WT BOILER,,,,,,,,,,
3/15/2012,6314077-BP,Boiler/Pressure Vessel Permit,Completed,308    4TH  AVE  S  SEATTLE,,INSTALL NEW BOILER,9/15/2013,,,,,,,,
3/14/2012,6313959-CN,Construction Permit,Completed,308    4TH  AVE  S  SEATTLE,,"Construct alterations and change of use of portion from storage to artist studio and change use of portion from shop and homeless shelter to artist studio, and occupy per plan.",1/10/2014,,,,,,,,
2/27/2012,6312175-CN,Construction Permit,Completed,308    4TH  AVE  S  SEATTLE,,Change use of accessory storage to residential and alterations to existing mixed use building and occupy per plans.,1/10/2014,,,,,,,,
1/9/2012,6307256-EL,Electrical Permit: Over the Counter,Completed,308    4TH  AVE  S  SEATTLE,,"INSTALL CKTS FOR DISHWASHER, DISPOSAL, MICROWAVE, REPLACE INCANDESCENT FIXTURES WITH FLORESCENT FIXTURES OF EACH UNIT. 2/13/12 JCB; ADD (9) LIGHTS, (23) RECEPTS.",1/8/2013,,,,,,,,
9/9/2011,1026094-TR,Tenant Relocation License,Completed,308    4TH  AVE  S  SEATTLE,,"Violation of the Tenant Relocation Assistance Ordinance, Seattle Municipal Code Chapter 22.210.Application for a Tenant Relocation License. Total units: 240. Removal of Use Restrictions.",,,,,,,,,
9/6/2011,3012707-LU,Master Use Permit,Canceled,308    4TH  AVE  S  SEATTLE,,Cancelled due to lack of activity 1/21/2015 mgc.Renovation of existing 9-story apt building back into a hotel.,,,,,,,,,
8/10/2011,6292152-CN,Construction Permit,Closed,308    4TH  AVE  S  SEATTLE,,Renovation of existing 9-story apt building back into a hotel.,,,,,,,,,
6/7/2011,002635-11CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,No apparent hazard or unsafe structure seen during 6/8/11 inspection.6/8/11: 3 photos taken by Building Inspector Don White.,,,,,,,,,
2/17/2011,EQP-BP-18350,Boiler Equipment Certification,Permanently Out of Service,308    4TH  AVE  S  SEATTLE,COIL WT BOILER,,,,,,,,,,
2/11/2011,6274331-BP,Boiler/Pressure Vessel Permit,Completed,308    4TH  AVE  S  SEATTLE,,REPLACEMENT OF BOILER WITH NEW,8/11/2012,,,,,,,,
11/10/2010,1024370-TR,Tenant Relocation License,Completed,308    4TH  AVE  S  SEATTLE,,Application for a Tenant Relocation License. Total units: 240; total units occupied: 240. Substantial rehabilitation.,,,,,,,,,
9/8/2010,6260187-CN,Construction Permit,Completed,308    4TH  AVE  S  SEATTLE,,"Construct alterations and voluntary seismic upgrade to existing mixed-use building, per plans.",5/11/2015,,,,,,,,
6/21/2010,6252552-CN,Construction Permit,Completed,308    4TH  AVE  S  SEATTLE,,"Construct repairs and re-enforce cornice of existing building, per plan.",3/10/2012,,,,,,,,
5/27/2010,002645-10CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,"A portion of the building's soffit came loose & fell to sidewalk below. Block off the sidewalk, provide a structural engineer's evalaution, obtain permit from DPD & approval from the International Special Review District for repairs.5/25/10: no photos taken by Structural Inspector Tim Blevins.",,,,,,,,,
5/27/2010,1022640-VI,Notice of Violation,Completed,308    4TH  AVE  S  SEATTLE,,Permit 6252552 was issued 9/10/10 and received final approval 11/4/10 for repair of building's soffit that came loose & fell to sidewalk below.,,,,,,,,,
4/8/2010,1022206-VI,Notice of Violation,Completed,308    4TH  AVE  S  SEATTLE,,Violation of the Just Cause Eviction Ordinance due to manager's issuance of a deficient notice to terminate tenancy.,,,,,,,,,
2/18/2010,6241061-CN,Construction Permit,Closed,308    4TH  AVE  S  SEATTLE,,"Fire damage repair to existing restaurant (V-Garden), subject to field inspection, STFI.",,,,,,,,,
10/28/2009,6231558-CY,Conveyance Permit,Completed,308    4TH  AVE  S  SEATTLE,DOWNTOWN APTS,INSTALL HYDRAULIC CAR BUFFER IN ELEVATOR PIT,4/30/2011,,,,,,,,
3/19/2009,1018788-VI,Notice of Violation,Completed,308    4TH  AVE  S  SEATTLE,,Violation of the Just Cause Evication Ordinance.,,,,,,,,,
6/12/2007,003132-07CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,JR ispected the property and observed no violation.,,,,,,,,,
3/8/2007,EQP-BP-15182,Boiler Equipment Certification,Permanently Out of Service,308    4TH  AVE  S  SEATTLE,COIL WT BOILER,,,,,,,,,,
3/6/2007,6131334-BP,Boiler/Pressure Vessel Permit,Completed,308    4TH  AVE  S  SEATTLE,,INSTALL NEW BOILER,9/7/2008,,,,,,,,
12/15/2005,005154-05CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,,,,,,,,,,
6/21/2005,002896-05CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,,,,,,,,,,
5/13/2005,6057805-EL,Electrical Permit: Over the Counter,Completed,308    4TH  AVE  S  SEATTLE,,REPLACE EXIT SIGNS WITH NEW LED SIGNS,5/25/2006,,,,,,,,
9/17/2004,1003449-VI,Notice of Violation,Completed,308    4TH  AVE  S  SEATTLE,,"Tenant requires that mgr enters only w/SPD or two witnesses.  Observed: inspection w/inspctr Lyle:  sleeping room with bathroom, walls grease covered, dirty, tobacco stained in sleeping room; small 1/2 size refrigerator frozen over w/ill-fitting door; sink cabinet broken and peeling paint and base; bathroom, dirty,tub enclosure stained and unsanitary; floor tile cracked and separating from walls and tub.  Living room carpet, old, dirty, pest infested with roaches, gnats and flies.",,,,,,,,,
9/3/2004,003948-04CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,"Tenant requires that mgr enters only w/SPD or two witnesses.  Observed: inspection w/inspctr Lyle:  sleeping room with bathroom, walls grease covered, dirty, tobacco stained in sleeping room; small 1/2 size refrigerator frozen over w/ill-fitting door; sink cabinet broken and peeling paint and base; bathroom, dirty,tub enclosure stained and unsanitary; floor tile cracked and separating from walls and tub.  Living room carpet, old, dirty, pest infested with roaches, gnats and flies.",,,,,,,,,
2/21/2002,EQP-BP-10523,Boiler Equipment Certification,Permanently Out of Service,308    4TH  AVE  S  SEATTLE,COIL WT BOILER,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,CODE COMPLAINTS,147,,,,,,,,,,,,,
,NOV'S,22,,,,,,,,,,,,,
