"Address","Zip","District","TotalComplaintRecs","SevereConditions","DisplacementNotices","EvictionNotices","OpenUnresolved","NoHeatComplaints","NoWaterComplaints","SewageComplaints","PermitMatch","TotalPermits","Demolitions","ECA_Exemptions","Add_Alterations","New_Construction","ChangeOfUse","HousingUnitsRemoved","HousingUnitsAdded","OwnerOccClaims","FirstSevereDate","FirstDisplacementDate","FirstDemoPermitDate","LastPermitDate","SevereBeforeDemo","DispNearDemo","YearsActive","Typology"
"2334 NE 85TH ST","98115","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2006","Other"
"1915 NW 65TH ST","98117","6","1","0","0","0","0","0","0","0","1","2","0","0","1","0","0","0","0","0","","","","2025-07-28","0","0","2015","Other"
"2127 41ST AVE SW","98116","1","4","0","0","0","2","0","0","0","1","1","1","0","0","0","0","0","0","0","","","2019-05-30","2019-05-30","0","0","2019","Other"
"2642 NW 63RD ST","98107","6","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2023","Other"
"3375 W COMMODORE WAY","98199","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2024","Other"
"4000 E MADISON ST","98112","3","4","0","0","0","0","0","0","0","1","3","0","0","2","0","0","0","0","0","","","","2022-04-06","0","0","2009;2015;2023","Other"
"6490 ROOSEVELT AVE","","","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2024","Other"
"1714 S PEARL ST","98108","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2008","Other"
"12720 8TH AVE NE","98125","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2010","Other"
"10345 SAND POINT WAY NE","98125","5","1","0","0","0","1","0","0","0","1","3","0","0","1","0","0","0","0","0","","","","2021-01-20","0","0","2019","Other"
"5823 AIRPORT WAY S","98108","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2022;2025","Other"
"7550 JONES AVE NW","98117","6","1","0","0","0","0","0","0","0","1","2","0","0","1","0","0","0","0","0","","","","2023-01-23","0","0","2023","Other"
"2310 PERKINS LN W","98199","6","1","0","0","0","0","0","0","0","1","6","0","3","0","1","0","0","0","0","","","","2019-02-06","0","0","2013","Other"
"4029 AIKINS AVE SW","98116","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2009","Other"
"5919 49TH AVE SW","98136","1","5","0","0","0","1","0","0","0","1","2","0","0","1","0","0","0","0","0","","","","2020-11-13","0","0","2006;2008;2023","Other"
"9840 ARROWSMITH AVE S","98118","2","1","0","0","0","1","0","0","0","1","3","0","0","1","0","0","0","0","0","","","","2016-05-16","0","0","2019","Other"
"1400 23RD AVE","98122","3","4","0","0","0","0","0","0","0","1","6","0","0","4","0","0","0","0","0","","","","2015-05-06","0","0","2010;2014;2018;2023","Other"
"6235 21ST AVE NE","98115","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2024","Other"
"3043 19TH AVE S","98144","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2013","Other"
"4812 RAINIER AVE S","98118","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2006","Other"
"4745 40TH AVE SW","98116","1","14","0","2","2","2","0","0","0","1","6","1","0","1","1","0","0","0","0","","2024 APR 02 12:00:00 AM","2014-04-23","2016-04-22","0","0","2005;2015;2016;2017;2019;2020;2023;2024","RedevelopDisplacer"
"6201 RAINIER AVE S","98118","2","8","0","1","0","1","0","0","0","1","6","1","0","0","2","0","0","0","0","","2024 MAR 01 12:00:00 AM","2024-03-05","2024-03-05","0","1","2011;2017;2022;2024","RedevelopDisplacer"
"2301 28TH AVE W","98199","6","3","0","0","0","0","0","0","0","1","2","1","0","0","1","0","0","0","0","","","2015-02-06","2015-02-06","0","0","2015;2016","Other"
"7304 19TH AVE SW","98106","1","5","0","0","0","2","0","0","0","1","3","0","1","0","1","0","0","0","0","","","","2023-09-19","0","0","2015;2016;2025","Other"
"4103 S COURT ST","98144","2","2","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","","","","2006-03-17","0","0","2015;2022","Other"
"9403 15TH AVE SW","98106","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2022","Other"
"409 S HENDERSON ST","98108","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2014;2022","Other"
"1830 38TH AVE E","98112","3","1","0","0","0","0","0","0","0","1","4","1","0","1","1","0","0","0","0","","","2015-04-13","2015-04-13","0","0","2015","Other"
"626 13TH AVE E","98102","3","4","0","0","0","2","0","0","0","1","3","0","0","2","0","0","0","0","0","","","","2022-01-04","0","0","2021;2025","Other"
"9008 15TH AVE SW","98106","1","2","0","0","0","0","0","0","0","1","2","0","0","0","1","0","0","0","0","","","","2026-01-21","0","0","2006","Other"
"4202 PHINNEY AVE N","98103","6","2","0","0","0","2","0","0","0","1","4","0","0","0","2","0","0","0","0","","","","","0","0","2024","Other"
"2324 N 117TH ST","98133","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2006;2017","Other"
"2037 BONAIR DR SW","98116","1","3","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","","","","2021-10-08","0","0","2011;2021","Other"
"620 10TH AVE E","","3","4","0","0","0","1","0","0","0","1","6","1","0","0","1","0","0","0","0","","","2018-11-13","2018-11-13","0","0","2018;2019","Other"
"6209 53RD AVE NE","98115","4","1","0","0","0","1","0","0","0","1","3","0","0","2","0","0","0","0","0","","","","2019-04-16","0","0","2023","Other"
"212 M L KING JR WAY E","98112","3","2","0","0","0","0","0","0","0","1","2","0","0","1","0","0","0","0","0","","","","2020-08-20","0","0","2015","Other"
"8631 RAVENNA AVE NE","98115","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2022","Other"
"4466 S ROSE ST","98118","2","5","0","2","0","1","0","0","0","1","4","1","0","0","1","0","0","0","0","","2021 NOV 24 12:00:00 AM","2022-06-01","2022-06-01","0","1","2007;2021;2022;2023","RedevelopDisplacer"
"4016 S BOZEMAN ST","98118","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2020","Other"
"2700 S ANDOVER ST","98108","2","2","0","0","0","1","0","0","0","1","2","0","0","0","1","0","0","0","0","","","","2010-06-14","0","0","2023;2025","Other"
"4807 40TH AVE SW","98116","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2008;2010","Other"
"3014 29TH AVE W","98199","6","2","0","0","0","0","0","0","0","1","2","0","0","1","0","0","0","0","0","","","","2021-04-20","0","0","2009","Other"
"756 BROADWAY E","98102","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2022;2025","Other"
"5407 21ST AVE SW","98106","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2017","Other"
"302 S BARTON ST","98108","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2021","Other"
"2918 W MCGRAW ST","98199","6","2","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","","","","2008-06-02","0","0","2008","Other"
"7341 SEWARD PARK AVE S","98118","2","1","0","0","0","0","0","0","0","1","3","0","0","1","0","0","0","0","0","","","","2006-08-03","0","0","2010","Other"
"13046 15TH AVE NE","98125","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2009;2010","Other"
"9825 MARINE VIEW DR SW","98136","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2010","Other"
"1801 N 46TH ST","98103","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2008","Other"
"9037 RENTON AVE S","98118","2","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2008;2009;2011;2014;2017","Other"
"3406 37TH AVE W","98199","6","3","0","0","0","1","0","0","0","1","4","0","2","2","0","0","0","0","0","","","","2008-10-29","0","0","2025","Other"
"7103 SEWARD PARK AVE S","98118","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2004;2006","Other"
"13201 AURORA AVE N","98133","5","12","0","0","0","1","0","0","0","1","34","0","0","18","0","0","0","0","0","","","","2017-04-21","0","0","2012;2016;2017;2018;2019;2021;2023;2024;2025","Other"
"1502 NW 51ST ST","98107","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2015","Other"
"126 NE 92ND ST","98115","5","2","0","0","0","0","0","0","0","1","3","1","0","0","1","0","0","0","0","","","2012-09-28","2014-03-13","0","0","2012","Other"
"3631 GREENWOOD AVE N","98103","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2009","Other"
"7526 BAGLEY AVE N","","6","2","0","0","0","2","0","0","0","1","3","1","0","0","1","0","0","0","0","","","2019-05-13","2019-05-13","0","0","2019","Other"
"3228 46TH AVE SW","98116","1","3","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","","","","2006-10-06","0","0","2005;2006","Other"
"8344 32ND AVE NW","98117","6","2","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","","","","2005-09-20","0","0","2005","Other"
"419 N 145TH ST","98133","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2016","Other"
"9020 15TH AVE SW","98106","1","5","0","0","0","0","0","0","2","1","8","1","0","1","1","0","0","0","0","","","2020-02-08","2021-07-26","0","0","2012;2020","Other"
"4747 S VICTOR ST","98178","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2010","Other"
"853 NW 64TH ST","98107","6","1","0","0","0","0","0","0","0","1","3","0","0","1","0","0","0","0","0","","","","2025-09-02","0","0","2011","Other"
"6200 48TH AVE S","98118","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2017","Other"
"705 26TH AVE S","98144","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2018","Other"
"12341 33RD AVE NE","98125","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2015","Other"
"9014 15TH AVE SW","98106","1","1","0","0","0","0","0","0","0","1","2","0","0","0","1","0","0","0","0","","","","2021-07-27","0","0","2021","Other"
"3008 S BRADFORD ST","98108","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2014","Other"
"106 NW 59TH ST","98107","6","1","0","0","0","0","0","0","0","1","10","0","0","5","0","0","0","0","0","","","","2016-04-07","0","0","2022","Other"
"2215 E UNION ST","98122","3","1","0","0","0","0","0","0","0","1","2","0","0","1","0","0","0","0","0","","","","2018-05-21","0","0","2018","Other"
"4403 S SPENCER ST","98118","2","2","0","0","0","1","0","0","0","1","2","0","0","1","0","0","0","0","0","","","","2022-02-15","0","0","2021","Other"
"9726 6TH AVE NW","98117","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2009","Other"
"9449 5TH AVE SW","98106","1","1","0","0","0","0","0","0","0","1","8","0","0","2","1","1","0","0","0","","","","2020-11-16","0","0","2016","Other"
"222 22ND AVE E","98112","3","1","0","0","0","0","0","0","0","1","4","0","0","3","0","0","0","0","0","","","","2016-10-17","0","0","2019","Other"
"2020 N 75TH ST","98103","6","1","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","","","","2012-12-07","0","0","2012","Other"
"3943 S ANGELINE ST","98118","2","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","2007 SEP 04 12:00:00 AM","","","0","0","2007;2008","Other"
"5039 32ND AVE S","98118","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2025","Other"
"25 W DRAVUS ST","98119","7","4","0","2","1","0","0","0","0","1","3","1","1","0","0","0","0","0","0","","2023 MAR 07 12:00:00 AM","2025-11-10","2025-11-10","0","0","2023;2024;2025","RedevelopDisplacer"
"8501 A MIDVALE AVE N","98103","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2023","Other"
"1414 10TH AVE","98122","3","18","0","0","0","4","0","0","1","1","10","0","0","4","2","0","0","0","0","","","","2016-07-28","0","0","2013;2014;2015;2018;2019;2020;2021;2022;2023;2025","Other"
"7360 CALIFORNIA AVE SW","98136","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2006","Other"
"816 M L KING JR WAY","98122","3","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2007","Other"
"700 W LEE ST","","7","4","0","0","0","0","0","0","0","1","20","1","3","8","0","0","0","0","0","","","","2024-12-10","0","0","2019;2025","Other"
"525 NE 82ND ST","98115","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2024;2025","Other"
"800 ALASKAN WAY S","98134","1","1","0","0","0","0","0","0","0","1","5","0","0","0","2","0","0","0","0","","","","2021-03-08","0","0","2017","Other"
"228 21ST AVE E","98112","3","1","0","0","0","1","0","0","0","1","5","1","0","0","1","0","0","0","0","","","2020-02-13","2023-06-22","0","0","2020","Other"
"5413 3RD AVE NW","98107","6","1","0","0","0","0","0","0","0","1","2","0","0","2","0","0","0","0","0","","","","2005-03-03","0","0","2021","Other"
"3907 RENTON AVE S","98108","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2025","Other"
"3275 FUHRMAN AVE E","98102","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2024;2025","Other"
"1107 25TH AVE E","98112","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2023","Other"
"4738 9TH AVE NE","98105","4","3","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","","","","2012-04-23","0","0","2012;2022","Other"
"7100 CALIFORNIA AVE SW","98136","1","9","0","0","0","2","0","0","0","1","2","0","0","1","0","0","0","0","0","","","","2021-01-08","0","0","2007;2019;2020;2024;2025","Other"
"1476 ELLIOTT AVE W","98119","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2018","Other"
"10000 ASHWORTH AVE N","","5","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2025","Other"
"221 NW 100TH ST","98177","5","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2016;2025","Other"
"110 20TH AVE","98122","3","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","","","","2005-08-12","0","0","2004","Other"
"13007 23RD PL NE","98125","5","2","0","0","0","0","0","0","0","1","2","0","0","1","0","0","0","0","0","","","","","0","0","2017","Other"
"4603 SW WILDWOOD PL","98136","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2025","Other"
"2711 NE 137TH ST","98125","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2006;2010","Other"
"7537 31ST AVE NE","98115","4","1","0","0","0","0","0","0","0","1","3","0","0","2","0","0","0","0","0","","","","2021-04-09","0","0","2010","Other"
"7422 LATONA AVE NE","98115","6","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2009","Other"
"5109 WALLINGFORD AVE N","98103","6","2","0","0","0","0","0","0","0","1","2","0","0","1","0","0","0","0","0","","","","2024-03-27","0","0","2019;2020","Other"
"7527 LAKE CITY WAY NE","98115","4","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2022","Other"
"8525 16TH AVE NE","98115","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2022","Other"
"1473 ELLIOTT AVE W","","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2018","Other"
"1703 NW MARKET ST","98107","6","2","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","","","","2014-02-28","0","0","2014","Other"
"9838 47TH AVE SW","98136","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2025","Other"
"110 S HORTON ST","98134","1","2","0","0","0","0","0","0","0","1","2","0","0","1","0","0","0","0","0","","","","2019-12-12","0","0","2007","Other"
"2025 4TH AVE","98121","7","3","0","0","0","0","0","0","0","1","2","0","0","1","0","0","0","0","0","","","","","0","0","2020;2025","Other"
"6030 35TH AVE NW","98107","6","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2020","Other"
"414 E PINE ST","98122","3","2","0","0","0","0","0","0","0","1","6","0","0","4","0","0","0","0","0","","","","2016-08-17","0","0","2017","Other"
"9403 12TH AVE NE","98115","5","1","0","0","0","0","0","0","0","1","2","0","0","2","0","0","0","0","0","","","","2012-12-17","0","0","2018","Other"
"900 FEDERAL AVE E","98102","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2022","Other"
"422 M L KING JR WAY S","98144","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2004","Other"
"10238 66TH AVE S","98178","2","4","0","0","0","0","0","0","0","1","2","0","0","1","0","0","0","0","0","","","","2017-07-07","0","0","2007","Other"
"2700 NE UNIVERSITY VILLAGE ST","98105","4","2","0","0","0","0","0","0","0","1","14","0","0","8","0","0","0","0","0","","","","2025-05-16","0","0","2025","Other"
"7705 45TH AVE NE","98115","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2021","Other"
"2905 E OLIVE ST","","3","2","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","","","","2014-11-14","0","0","2019","Other"
"6816 SEWARD PARK AVE S","98118","2","1","0","1","0","0","0","0","0","1","4","0","1","2","0","0","0","0","0","","2007 NOV 14 12:00:00 AM","","2018-10-01","0","0","2007","Other"
"725 E PIKE ST","98122","3","2","0","0","0","2","0","0","0","1","2","0","0","2","0","0","0","0","0","","","","2006-01-23","0","0","2025","Other"
"413 32ND AVE","98122","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2020","Other"
"3651 13TH AVE W","98119","7","3","0","0","0","2","0","0","0","1","1","0","0","0","1","0","0","0","0","","","","2007-08-23","0","0","2007;2023","Other"
"7331 36TH AVE SW","98126","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2008","Other"
"7404 LINDEN AVE N","98103","6","2","0","0","0","0","0","0","0","1","3","1","0","0","1","0","0","0","0","","","2007-11-07","2007-11-07","0","0","2004","Other"
"3117 E THOMAS ST","98112","3","2","0","0","0","0","0","0","0","1","3","0","1","0","1","0","0","0","0","","","","2022-05-30","0","0","2004","Other"
"5112 15TH AVE S","98108","2","4","0","0","0","4","0","0","1","1","3","1","0","0","1","0","0","0","0","","","2025-06-06","2025-06-06","0","0","2025","Other"
"7311 KEEN WAY N","98103","6","1","0","0","0","0","0","0","0","1","2","0","0","1","0","0","0","0","0","","","","2018-03-28","0","0","2010","Other"
"600 S BRANDON ST","98108","1","5","0","0","0","1","0","0","0","1","11","0","0","6","0","1","0","0","0","","","","2019-02-26","0","0","2017;2020;2023","Other"
"120 E HARVARD AVE","98102","","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2025","Other"
"1504 E PROSPECT ST","98112","3","6","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2019;2020","Other"
"820 14TH AVE","98122","3","4","0","0","0","1","0","0","0","1","2","0","0","0","1","0","0","0","0","","","","2022-09-12","0","0","2022;2023","Other"
"6914 SEWARD PARK AVE S","98118","2","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2005;2011;2018;2024","Other"
"403 GALER ST","98109","7","2","0","1","0","1","0","0","0","1","6","1","1","0","1","0","0","0","0","","2015 MAR 09 12:00:00 AM","2015-10-21","2015-10-21","0","1","2015;2021","RedevelopDisplacer"
"1521 14TH AVE S","98144","2","1","0","0","0","0","0","0","0","1","2","1","0","0","1","0","0","0","0","","","2010-04-13","2010-04-13","0","0","2004","Other"
"4119 E EDGEWATER PL","98112","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2020","Other"
"3298 PERKINS LN W","98199","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2020","Other"
"5451 46TH AVE SW","98136","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2024","Other"
"99 UNION ST","98101","7","6","0","2","0","0","0","0","0","1","19","0","0","13","0","0","0","0","0","","2012 FEB 23 12:00:00 AM","","2014-12-29","0","0","2011;2012","Other"
"501 2ND AVE W","98119","7","3","0","0","0","0","1","0","0","1","3","0","0","2","0","0","0","0","0","","","","2006-07-07","0","0","2014;2017","Other"
"5803 8TH AVE NE","98105","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2011","Other"
"1212 HARRISON ST","98109","7","8","0","0","0","2","0","0","0","1","6","0","1","0","2","0","0","0","0","","","","2016-06-07","0","0","2018;2020;2022;2023","Other"
"3823 53RD AVE SW","","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2004;2020","Other"
"5003 RENTON AVE S","98118","2","3","0","3","2","0","0","0","0","1","4","1","0","0","1","0","0","0","0","","2016 OCT 19 12:00:00 AM","2017-04-17","2017-04-17","0","1","2016","RedevelopDisplacer"
"5039 31ST AVE S","98108","2","11","0","1","1","0","0","0","1","1","1","0","0","0","1","0","0","0","0","","2017 NOV 17 12:00:00 AM","","2004-03-31","0","0","2004;2007;2014;2015;2017;2018;2020","Other"
"8848 20TH AVE SW","98106","1","26","0","0","0","4","0","0","0","1","7","2","0","0","2","0","0","0","0","","","2020-04-28","2020-04-28","0","0","2005;2007;2008;2009;2011;2015;2016;2017;2018;2019;2020","Other"
"6907 SEWARD PARK AVE S","98118","2","3","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","","","","2014-07-18","0","0","2023;2024;2025","Other"
"1403 N 145TH ST","98133","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2013;2014","Other"
"3648 PHINNEY AVE N","98103","6","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","2011 MAR 25 12:00:00 AM","","","0","0","2011","Other"
"2051 SW ORCHARD ST","98106","1","1","0","0","0","1","0","0","0","1","4","0","0","0","1","0","0","0","0","","","","","0","0","2025","Other"
"522 S INDUSTRIAL WAY","98108","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2025","Other"
"300 5TH AVE","98104","1","1","0","0","0","0","0","0","0","1","40","0","2","14","3","0","0","0","0","","","","2022-09-20","0","0","2007","Other"
"2009 W EMERSON PL","98119","6","7","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","","","","","0","0","2009;2013;2018;2022;2023","Other"
"5918 26TH AVE SW","98106","1","2","0","0","0","0","0","0","0","1","2","0","1","1","0","0","0","0","0","","","","2008-07-28","0","0","2008","Other"
"3305 E PINE ST","98122","3","4","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","","","","2007-06-27","0","0","2007;2009","Other"
"3922 LINDEN AVE N","98103","6","2","0","1","0","1","0","0","0","1","2","0","0","0","1","0","0","0","0","","2019 NOV 15 12:00:00 AM","","2020-08-31","0","0","2019;2021","Other"
"856 S DONOVAN ST","98108","1","6","0","0","0","2","0","0","0","1","3","1","0","0","1","0","0","0","0","","","2023-07-18","2023-07-18","0","0","2010;2021;2023","Other"
"3307 SW ANDOVER ST","98126","1","2","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","","","","2006-06-14","0","0","2010","Other"
"3104 E TERRACE ST","98122","3","1","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","","","","2010-05-04","0","0","2010","Other"
"349 N 72ND ST","98103","6","1","0","0","0","0","0","0","0","1","4","0","0","2","0","0","0","0","0","","","","2023-07-11","0","0","2016","Other"
"12738 PALATINE AVE N","98133","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2019","Other"
"1223 N NORTHGATE WAY","98133","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2007;2008;2025","Other"
"1022 N 48TH ST","98103","4","1","0","1","1","0","0","0","0","1","2","0","0","1","0","0","0","0","0","","2018 MAY 14 12:00:00 AM","","2019-08-13","0","0","2018","Other"
"1822 N 55TH ST","98103","6","4","0","0","0","1","0","0","0","1","3","0","0","2","0","0","0","0","0","","","","2014-07-11","0","0","2022;2023","Other"
"9631 58TH AVE S","98118","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2012;2015","Other"
"508 NW 43RD ST","98107","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2019","Other"
"5122 S BRIGHTON ST","98118","2","1","0","0","0","1","0","0","0","1","2","0","0","0","1","0","0","0","0","","","","","0","0","2025","Other"
"315 5TH AVE S","98104","2","4","0","0","0","0","0","0","0","1","22","0","1","7","0","0","0","0","0","","","","2014-01-31","0","0","2007;2018","Other"
"104 9TH AVE N","","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2022","Other"
"1515 S HOLGATE ST","98144","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2007","Other"
"1025 E FIR ST","98122","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2006","Other"
"212 4TH AVE S","98104","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2004","Other"
"4835 S CHICAGO ST","98118","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2018","Other"
"13332 23RD AVE NE","98125","5","2","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","","","","2009-12-29","0","0","2009","Other"
"5221 LAKE WASHINGTON BLVD S","98118","2","2","0","0","0","2","0","0","0","1","7","1","1","1","0","1","0","0","0","","","","2021-07-23","0","0","2020;2021","Other"
"10659 EXETER AVE NE","98125","5","2","0","0","0","0","0","0","0","1","6","0","2","2","0","0","0","0","0","","","","2022-01-03","0","0","2020","Other"
"9236 3RD AVE NW","98117","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2005","Other"
"2703 NE 88TH ST","98115","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2014","Other"
"10022 14TH AVE NW","98177","5","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2005;2010","Other"
"6744 36TH AVE SW","98126","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2016","Other"
